https://dw.com/en/delhi-to-curb-cars-after-diwali-amid-severe-pollution/a-67314144,Delhi to curb cars after Diwali amid 'severe' pollution,11/06/2023,India
https://dw.com/en/the-princess-at-the-center-of-saudi-arabias-sporting-web/a-67274734,The princess at the center of Saudi Arabia's sporting web,11/01/2023,Saudi Arabia
https://dw.com/en/toxic-smog-engulfs-indias-capital/a-67292268,Toxic smog engulfs India's capital,11/03/2023,India
https://dw.com/en/working-toward-inclusion-in-berlins-grassroots-football/a-67328671,Working toward inclusion in Berlin's grassroots football,20 hours ago,Germany
https://dw.com/en/gay-games-in-hong-kong-guadalajara-what-you-need-to-know/a-67311150,"Gay Games in Hong Kong, Guadalajara: What you need to know",11/05/2023,Asia
https://dw.com/en/alpine-ski-world-cup-grapples-with-climate-challenges/a-67257154,Alpine Ski World Cup grapples with climate challenges,10/30/2023,Austria
https://dw.com/en/paris-olympics-test-event-canceled-over-seine-river-pollution/a-66584429,Paris Olympics test event canceled over Seine pollution,08/20/2023,France
https://dw.com/en/air-pollution-nearly-everyone-in-europe-breathing-bad-air/a-66657048,Air pollution: Nearly everyone in Europe breathing bad air,09/07/2023,Europe
https://dw.com/en/how-sports-are-handling-transgender-women-in-competition/a-66973847,How sports are handling transgender women in competition,10/01/2023,Global issues
https://dw.com/en/ioc-congress-in-mumbai-to-decide-fate-of-five-hopeful-sports/a-67086554,IOC Congress in Mumbai to decide fate of five hopeful sports,10/13/2023,Global issues
https://dw.com/en/paris-olympics-swim-event-called-off-over-pollution-fears/a-66451151,Paris Olympics swim event called off over pollution fears,08/06/2023,France
https://dw.com/en/un-adopts-new-global-rules-to-reduce-chemicals-harm/a-66972693,UN adopts new global rules to reduce chemicals harm ,09/30/2023,Germany
https://dw.com/en/pan-american-games-all-you-need-to-know/a-67119095,Pan American Games: All you need to know,10/19/2023,Latin America
https://dw.com/en/eu-bans-microplastics-added-to-consumer-products/a-67019552,EU bans microplastics added to consumer products ,10/17/2023,Europe
https://dw.com/en/gaza-hospital-blast-what-investigations-have-revealed-so-far/a-67237447,Gaza hospital blast: What investigations show so far,10/27/2023,Palestinian Territories
https://dw.com/en/german-firm-to-sue-eu-over-ban-on-polluting-cars/a-66906278,German firm to sue EU over ban on polluting cars,09/23/2023,Germany
https://dw.com/en/new-york-air-pollution-how-to-protect-yourself-from-smoke/a-65861978,New York air pollution: How to protect yourself from smoke,06/08/2023,United States of America
https://dw.com/en/new-zealand-christchurch-mosque-attacks-inquest-begins/a-67192722,New Zealand: Christchurch mosque attacks inquest begins,10/24/2023,New Zealand
https://dw.com/en/london-expands-ulez-toll-zone-for-polluting-vehicles/a-66656932,London expands ULEZ toll zone for polluting vehicles,08/29/2023,United Kingdom
https://dw.com/en/spain-sports-court-opens-case-against-rubiales-over-kiss/a-66701774,Spain: Sports court opens case against Rubiales over kiss,09/02/2023,Spain
https://dw.com/en/transgender-women-banned-from-female-athletics-events/a-65099053,Transgender women banned from female athletics events,03/26/2023,Global issues
